title,parenttask,maxxp
C2_String+,,600
C3_SimpleBashUtils,C2_String+,250
C4_s21_Math,C3_SimpleBashUtils,500
C5_s21_decimal,C4_s21_Math,300
C6_s21_matrix,C5_s21_decimal,350
C7_SmartCalculator,C6_s21_matrix,700
C8_3D_Viewer_v1.0,C7_SmartCalculator,1020
CPP_s21_matrix+,C8_3D_Viewer_v1.0,300
CPP_s21_containers,CPP_s21_matrix+,501
CPP_SmartCalculator_v2.0,CPP_s21_containers,750
CPP_3D_Viewer_v2.0,CPP_SmartCalculator_v2.0,1050
CPP_MLP,CPP_3D_Viewer_v2.0,700
A1_Maze,CPP_MLP,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
A4_Transactions,A3_Parallels,700
A5_Algorithmic_trading,A4_Transactions,800
