peer,date,time,State
cflossie,2021-10-01,04:20:00,1
cflossie,2021-10-01,04:50:00,2
cflossie,2021-10-01,05:23:00,1
cflossie,2021-10-01,06:50:00,2
gconn,2021-10-02,10:00:00,1
gconn,2021-10-02,10:30:00,2
gconn,2021-10-02,11:00:00,1
gconn,2021-10-02,11:30:00,2
torell,2022-10-02,11:00:00,1
torell,2022-10-02,11:30:00,2
tcocoa,2022-10-03,00:01:00,1
cflossie,2022-01-04,00:01:00,1
cflossie,2022-01-04,23:01:00,2
cflossie,2022-01-14,00:01:00,1
cflossie,2022-01-14,23:45:00,2
cflossie,2022-01-31,00:01:00,1
cflossie,2022-01-31,23:10:00,2
cflossie,2022-02-10,00:01:00,1
cflossie,2022-02-10,23:11:00,2
cflossie,2022-02-20,00:01:00,1
cflossie,2022-02-20,23:30:00,2
cflossie,2022-02-28,00:01:00,1
cflossie,2022-02-28,23:30:00,2
cflossie,2022-03-18,00:01:00,1
cflossie,2022-03-18,23:30:00,2
cflossie,2022-03-19,00:01:00,1
cflossie,2022-03-19,23:30:00,2
cflossie,2022-03-20,15:01:00,1
cflossie,2022-03-20,23:30:00,2
torell,2022-08-01,11:30:00,1
torell,2022-08-01,23:01:00,2
torell,2022-08-02,11:30:00,1
torell,2022-08-02,23:01:00,2
torell,2022-08-03,11:30:00,1
torell,2022-08-03,23:01:00,2
torell,2022-08-04,13:30:00,1
torell,2022-08-04,20:01:00,2
tcocoa,2022-02-25,00:01:00,1
tcocoa,2022-02-25,23:01:00,2
tcocoa,2022-02-26,18:01:00,1
tcocoa,2022-02-26,23:01:00,2
tcocoa,2022-02-27,14:01:00,1
tcocoa,2022-02-27,23:01:00,2
matinish,2022-09-11,00:01:00,1
matinish,2022-09-11,16:01:00,2
hspeaker,2022-06-25,11:01:00,1
hspeaker,2022-06-25,23:01:00,2
hspeaker,2022-06-26,17:01:00,1
hspeaker,2022-06-26,23:01:00,2
hspeaker,2022-06-27,00:01:00,1
hspeaker,2022-06-27,23:01:00,2
